# core	nvalues	median	mean	stddev	min	max
44	90	577.0	568.744444444	27.9581278626	490	644
45	90	578.5	576.466666667	25.3185044319	515	644
46	90	577.0	571.355555556	28.7326028952	504	647
47	90	586.5	583.633333333	25.8918477088	516	633
0	90	314.0	313.133333333	16.883390918	271	354
1	90	307.5	309.744444444	19.4059332915	253	353
2	90	315.5	313.811111111	18.9126027614	253	365
3	90	311.5	310.0	18.3102885468	251	349
4	90	312.5	312.111111111	19.1957428408	258	353
6	90	449.5	443.622222222	25.031348247	376	500
7	90	447.5	445.055555556	23.0334834106	389	512
8	90	446.5	440.488888889	25.7273069128	305	483
9	90	442.5	439.5	22.9507927726	382	480
10	90	448.0	441.044444444	24.5953523663	379	485
11	90	449.5	443.044444444	27.3385812487	319	494
12	90	453.5	448.011111111	27.7750865363	377	512
13	90	450.5	445.688888889	26.8397070875	345	495
14	90	454.5	451.011111111	26.0727590683	395	532
15	90	449.0	448.677777778	26.5893996329	383	535
16	90	447.0	449.755555556	25.6585749631	350	518
17	90	453.5	449.733333333	28.6258624324	337	500
18	90	550.0	542.433333333	28.7753945817	468	595
19	90	555.5	546.744444444	30.7110407621	479	609
20	90	539.0	542.066666667	27.8023979781	494	600
21	90	554.0	544.988888889	30.2561268155	474	603
22	90	557.0	548.622222222	32.7378740156	473	609
23	90	551.0	543.755555556	32.00496875	473	637
24	90	420.0	415.9	25.7738239305	341	466
25	90	418.0	414.833333333	25.3654401806	356	483
26	90	417.5	412.666666667	25.36533067	334	465
27	90	421.0	418.244444444	22.6359159602	371	469
28	90	411.5	409.788888889	26.5553905155	344	477
29	90	416.0	411.9	25.5968965133	344	482
30	90	597.0	589.744444444	33.7765734434	522	666
31	90	594.0	588.311111111	26.2300270871	519	646
32	90	580.0	581.544444444	29.1315640619	527	663
33	90	589.0	584.822222222	26.0766297148	522	647
34	90	591.0	586.433333333	32.4623029237	511	651
35	90	586.5	587.377777778	32.8797735116	509	675
36	90	463.0	462.377777778	28.1387742676	399	526
37	90	456.5	453.9	26.1665817408	382	502
38	90	461.0	460.644444444	30.7648107462	394	527
39	90	455.5	451.8	27.3232501727	391	514
40	90	464.0	461.588888889	29.8830663474	340	521
41	90	455.0	452.977777778	30.7035929051	389	527
42	90	573.5	569.133333333	25.070655711	504	632
43	90	582.5	576.0	29.1837093065	500	676
44	90	590.0	585.188888889	31.8339073053	472	658
45	90	586.5	582.733333333	27.273430294	513	642
46	90	588.0	581.111111111	28.148196881	511	639
47	90	588.0	578.322222222	30.8612766272	502	628
0	90	316.0	313.0	25.6376459311	249	368
1	90	327.0	323.755555556	26.067566528	258	378
2	90	325.5	323.122222222	28.4670678261	267	398
3	90	325.5	322.433333333	26.9843781968	249	381
4	90	325.5	323.177777778	25.6924449672	262	377
5	90	327.0	323.388888889	25.5210999608	258	381
7	90	358.5	355.711111111	25.0516109238	302	416
8	90	352.5	353.966666667	28.3001570471	293	418
9	90	367.0	364.233333333	27.104345695	301	423
10	90	352.5	346.844444444	29.3790972976	277	409
11	90	356.0	355.7	28.0699325099	292	416
12	90	403.0	400.733333333	21.6829682265	344	463
13	90	402.5	403.622222222	27.7783199947	347	471
14	90	398.0	399.955555556	25.6618658329	344	483
15	90	393.5	392.711111111	25.3566754062	333	470
16	90	409.0	406.722222222	27.6634647857	342	477
17	90	399.0	401.722222222	26.1669969312	325	472
18	90	504.5	502.966666667	25.5527558853	447	572
19	90	512.0	507.866666667	28.1552047685	447	584
20	90	499.0	504.155555556	27.3044201188	429	593
21	90	503.5	504.922222222	23.8775709623	449	577
22	90	491.5	493.8	26.1606999567	436	573
23	90	502.0	505.911111111	26.0165094783	457	576
24	90	422.0	416.366666667	29.1686475518	356	465
25	90	417.5	417.166666667	26.2497619037	361	476
26	90	404.0	411.488888889	37.6363430873	339	488
27	90	409.5	409.611111111	35.9971278004	348	474
28	90	395.5	406.544444444	31.938886473	348	473
29	90	405.0	412.522222222	33.8458032119	353	485
30	90	471.5	477.588888889	29.652016774	413	537
31	90	474.5	480.255555556	36.1437134878	423	557
32	90	468.0	474.555555556	33.1455078609	412	559
33	90	487.0	479.966666667	36.4107584834	396	547
34	90	483.5	482.511111111	31.212620113	426	549
35	90	475.5	479.044444444	35.6650813078	411	551
36	90	441.0	439.9	31.8562918955	378	525
37	90	450.0	447.877777778	33.0678856555	385	507
38	90	447.5	448.355555556	35.9982441273	393	543
39	90	458.5	452.744444444	30.536885205	394	520
40	90	443.0	447.311111111	33.2183498301	382	534
41	90	440.0	444.944444444	32.4853338228	384	514
42	90	487.5	480.088888889	33.4207668123	411	565
43	90	478.0	484.988888889	36.1110923077	409	569
44	90	479.0	484.277777778	32.570616539	424	562
45	90	486.5	483.155555556	32.3408620483	402	582
46	90	496.0	495.288888889	26.6875936405	438	568
47	90	496.0	485.244444444	33.8359805569	395	546
0	90	334.0	327.155555556	27.9936147922	255	394
1	90	327.5	326.066666667	32.8558467653	248	398
2	90	331.5	329.244444444	32.7588193761	207	387
3	90	327.0	326.377777778	27.7923161954	275	404
4	90	341.0	336.433333333	28.7703744231	260	388
5	90	325.0	327.188888889	33.0110737125	258	390
6	90	362.5	360.422222222	28.6868060179	295	420
8	90	356.5	359.855555556	29.1568787809	293	416
9	90	367.5	363.4	26.6119438515	310	415
10	90	363.0	364.366666667	29.8881061442	296	441
11	90	371.0	366.722222222	29.5300328396	258	445
12	90	407.0	408.855555556	28.7821553942	347	483
13	90	416.5	414.544444444	30.8534749028	353	493
14	90	400.0	398.955555556	27.2783638769	323	450
15	90	405.5	406.555555556	27.3938805458	332	474
16	90	422.0	417.5	28.2678655406	355	471
17	90	419.0	416.277777778	28.4542626284	356	503
18	90	494.0	499.777777778	27.4630166579	430	573
19	90	514.0	515.655555556	31.2225563446	444	576
20	90	510.5	510.222222222	26.3930873853	443	590
21	90	511.0	512.688888889	29.1805279232	443	594
22	90	505.5	508.933333333	25.4155682823	460	582
