# src_core	dest_core	cost	stderr
5	7	404.095238095	10.2457335847
6	7	315.904761905	14.2201670851
7	7	-1	0
8	7	314.825396825	5.51344585173
9	7	311.936507937	16.6073927083
10	7	302.174603175	12.4154789237
11	7	312.428571429	5.7313238054
12	7	445.253968254	7.0462604153
13	7	435.253968254	5.06769492689
14	7	447.650793651	4.26933967668
15	7	445.634920635	8.21593802874
16	7	430.920634921	5.63802731262
17	7	441.301587302	4.64496628257
18	7	319.523809524	4.49640824157
19	7	320.952380952	5.28978821981
20	7	322.746031746	7.07099654854
21	7	320.444444444	5.01356185452
22	7	320.634920635	5.63239379965
23	7	314.714285714	4.80881654394
0	8	409.428571429	6.45795752692
1	8	414.142857143	8.50929863533
2	8	402.904761905	7.98354316399
3	8	404.73015873	8.43312883096
4	8	404.952380952	8.03450608201
5	8	404.428571429	7.63599306067
6	8	316.492063492	10.7347130374
7	8	317.26984127	5.51248611331
8	8	-1	0
9	8	314.682539683	12.6927368268
10	8	305.063492063	10.5648008205
11	8	317.682539683	6.5751465596
12	8	444.714285714	4.0372415989
13	8	437.015873016	5.66103940059
14	8	443.396825397	9.0843309763
15	8	446.571428571	3.63280592814
16	8	440.73015873	5.88839684763
17	8	443.952380952	4.967924326
18	8	318.698412698	5.53956883496
19	8	318.523809524	6.06016695997
20	8	328.777777778	9.27951224164
21	8	322.079365079	4.04067253282
22	8	321.317460317	5.4796170554
23	8	315.222222222	5.03777616737
0	9	407.063492063	9.4379729729
1	9	407.793650794	6.13125930295
2	9	407.825396825	13.5488998939
3	9	407.714285714	7.49058365799
4	9	411.412698413	9.45269747448
5	9	399.063492063	6.49510930996
6	9	311.238095238	8.18382897483
7	9	313.412698413	4.03805281
8	9	309.873015873	8.5514169688
9	9	-1	0
10	9	305.936507937	9.94249021196
11	9	309.111111111	11.8296253226
12	9	437.793650794	6.54449660998
13	9	430.047619048	3.37793292399
14	9	437.920634921	6.22667479173
15	9	434.73015873	6.08721363319
16	9	435.333333333	9.85127499604
17	9	443.777777778	7.41393891935
18	9	314.26984127	5.44294023369
19	9	328.428571429	5.93540436224
20	9	317.412698413	5.80813583906
21	9	316.238095238	3.38865654755
22	9	324.634920635	4.57148368573
23	9	316.26984127	3.81811201249
0	10	410.857142857	8.77741897714
1	10	414.444444444	9.55481724722
2	10	404.492063492	10.7065815923
3	10	401.746031746	10.1010265924
4	10	410.349206349	10.9735016046
5	10	401.920634921	13.1370088974
6	10	311.888888889	10.3756600266
7	10	315.587301587	15.3732760506
8	10	314.253968254	6.12558582613
9	10	312.746031746	15.1835000816
10	10	-1	0
11	10	315.015873016	6.55499824681
12	10	445.174603175	5.64994643194
13	10	437.126984127	4.91028096533
14	10	437.841269841	5.17689110974
15	10	436.682539683	4.94035985074
16	10	437.761904762	5.77821383319
17	10	446.285714286	4.95512744355
18	10	318.936507937	4.78712895988
19	10	321.492063492	5.5028795229
20	10	324.158730159	5.43418441832
21	10	321.634920635	5.21384477853
22	10	323.936507937	7.42127575537
23	10	315.206349206	4.62964474676
0	11	410.126984127	8.58106454248
1	11	403.19047619	6.43615073481
2	11	402.920634921	17.6925251792
3	11	407.888888889	7.92246376443
4	11	408.476190476	10.7612726321
5	11	402.333333333	8.73780329083
6	11	314.317460317	5.67317664387
