# core	nvalues	median	mean	stddev	min	max
14	90	275.0	280.2	73.5726700465	4	461
15	90	274.0	294.511111111	55.0745443204	238	539
16	90	283.5	304.711111111	54.9258579955	239	493
17	90	280.5	294.811111111	48.7726914584	241	494
18	90	293.0	295.455555556	14.9251176144	274	358
19	90	293.0	297.711111111	15.5429472712	275	361
20	90	292.5	282.8	80.6191595645	4	510
21	90	293.0	303.611111111	31.0993727855	280	435
22	90	294.5	297.811111111	14.9003314239	275	347
23	90	293.0	296.477777778	15.616392938	274	362
24	90	310.5	305.366666667	59.2502133142	4	377
25	90	308.0	312.377777778	17.6273636888	287	366
26	90	305.5	309.522222222	37.5284270854	4	384
27	90	305.0	294.888888889	81.8248053186	4	489
28	90	311.0	314.822222222	17.5186109151	286	365
29	90	310.0	314.888888889	18.3814184221	292	377
30	90	288.0	308.166666667	55.593814604	244	490
31	90	287.0	303.933333333	50.1842826214	250	507
32	90	280.5	293.888888889	39.230782824	248	425
33	90	278.5	297.466666667	45.4322939475	245	464
34	90	284.5	300.1	52.4569770807	239	526
35	90	288.5	307.966666667	67.9417152173	5	588
36	90	280.0	297.066666667	47.2407074931	238	461
37	90	275.5	291.555555556	47.0607435157	239	510
38	90	288.5	286.844444444	46.6511667381	5	435
39	90	292.0	294.666666667	15.9638480463	274	353
40	90	292.0	294.355555556	17.1174447153	269	364
41	90	291.0	292.911111111	15.8090300809	274	345
42	90	288.0	291.577777778	14.4036860851	268	357
43	90	292.0	291.011111111	32.8685917098	11	362
44	90	275.5	296.411111111	49.6068755191	244	485
45	90	281.5	300.166666667	51.18034562	244	506
46	90	275.0	288.844444444	88.6638985923	4	584
47	90	280.0	300.355555556	53.3787954385	250	503
0	90	252.5	260.455555556	21.8454984486	238	353
1	90	256.0	259.155555556	16.4667416403	232	310
3	90	256.0	259.411111111	19.0484145998	234	341
4	90	256.0	258.288888889	15.3204615861	232	305
5	90	257.0	263.811111111	22.0519056594	238	353
6	90	287.0	285.322222222	31.5970560435	5	318
7	90	286.5	287.144444444	8.47028939701	275	310
8	90	286.0	287.488888889	13.0394652621	269	366
9	90	287.5	283.044444444	43.7492631331	4	360
10	90	287.0	288.355555556	8.74491739509	274	311
11	90	286.0	284.677777778	31.3722551797	5	322
12	90	257.0	260.1	14.509039328	238	312
13	90	257.0	262.722222222	18.3666532231	238	335
14	90	257.0	256.733333333	43.5016730202	4	356
15	90	257.0	262.844444444	19.528276428	232	324
16	90	257.0	263.455555556	20.7862995002	232	358
17	90	257.0	260.944444444	18.6388847491	232	322
18	90	290.0	292.944444444	14.5681243444	274	349
19	90	288.5	291.755555556	12.5762661047	275	354
20	90	291.0	293.488888889	15.5864930447	274	354
21	90	292.0	296.544444444	19.6865216786	280	385
22	90	291.5	293.7	16.0467719149	274	347
23	90	291.0	293.177777778	15.7279494869	274	340
24	90	304.0	310.188888889	17.9337635911	286	359
25	90	304.0	309.622222222	17.4002412357	286	349
26	90	304.0	311.666666667	17.3140918843	292	352
27	90	305.5	307.144444444	51.0084004217	5	434
28	90	304.0	309.166666667	16.8623512266	286	351
29	90	304.0	309.422222222	16.5395000447	292	345
30	90	262.0	269.355555556	43.6855712542	4	451
31	90	267.5	270.988888889	21.7104657018	242	354
32	90	262.0	269.222222222	32.1792817328	238	460
33	90	267.5	272.511111111	27.7349536564	238	392
34	90	258.0	266.711111111	26.0359770081	238	380
35	90	263.0	267.711111111	71.9509469391	5	576
36	90	257.0	258.988888889	17.2178811733	232	324
37	90	262.5	264.333333333	23.2125445012	232	346
38	90	286.0	288.3	11.5001932351	268	340
39	90	286.0	289.355555556	15.0726471251	268	365
40	90	286.0	289.444444444	14.0135736668	269	342
41	90	286.0	288.822222222	11.3740228179	268	329
42	90	284.0	286.511111111	13.2129939785	268	351
43	90	286.0	283.6	48.086218862	5	484
44	90	262.5	265.677777778	21.7116598361	238	364
45	90	262.0	266.022222222	22.4003857991	242	354
46	90	262.5	262.8	34.1754297705	10	363
47	90	268.0	269.544444444	20.6490038022	242	379
0	90	274.0	281.344444444	36.3795306033	238	407
1	90	275.0	290.077777778	48.4993076188	244	566
2	90	293.0	311.733333333	60.0075550799	238	515
4	90	280.0	300.666666667	55.1116039404	245	501
5	90	281.0	294.488888889	80.2792687289	5	569
6	90	292.0	293.0	10.6729148367	274	323
7	90	292.5	292.955555556	11.2209240173	274	322
8	90	293.0	294.944444444	10.6805754226	275	323
9	90	292.0	278.311111111	67.1410860211	4	342
10	90	292.0	294.122222222	12.640172096	274	337
11	90	294.5	292.188888889	47.3520841837	5	433
12	90	286.0	304.966666667	58.5826007541	238	521
13	90	280.0	291.111111111	42.6886517432	239	477
14	90	300.5	320.1	81.3644817404	5	548
15	90	276.5	295.788888889	55.3414641505	232	490
16	90	277.5	289.488888889	39.9650526348	238	434
17	90	286.5	307.688888889	58.4128304864	239	477
18	90	298.0	301.388888889	17.444320594	274	359
19	90	300.0	302.911111111	58.3241220241	4	550
20	90	298.0	267.744444444	93.1749323836	4	363
21	90	298.0	301.211111111	20.5228839453	275	416
22	90	298.0	302.533333333	20.0638979264	275	394
23	90	298.0	300.588888889	15.3303580044	280	351
24	90	311.0	315.144444444	38.4426155634	14	395
25	90	312.0	319.633333333	22.7876428502	292	422
26	90	310.0	297.2	81.7394505596	4	415
27	90	310.0	302.888888889	66.5519754185	4	369
28	90	309.0	315.255555556	17.6802219136	292	358
29	90	311.0	315.066666667	15.8091394101	286	362
30	90	284.0	306.944444444	61.1779482986	245	581
31	90	298.0	317.744444444	67.8102845545	244	576
32	90	296.0	319.677777778	70.3178225832	250	587
33	90	289.5	311.222222222	60.403049551	245	597
34	90	307.0	330.7	79.1600979731	5	595
35	90	288.5	299.588888889	43.831722263	244	473
36	90	286.0	295.722222222	77.738454345	4	533
37	90	289.5	304.922222222	51.7608234044	244	466
38	90	295.5	300.133333333	45.2551286228	6	483
39	90	295.0	300.7	20.0424272205	274	369
40	90	292.0	295.3	12.2505782176	275	331
