# src_core	dest_core	cost	stderr
38	1	310.619047619	23.0116799684
39	1	305.888888889	21.4513929034
40	1	305.666666667	24.3082062047
41	1	311.380952381	19.8305748954
42	1	314.984126984	18.576732386
43	1	317.603174603	21.2300623051
44	1	316.380952381	21.4242323649
45	1	315.571428571	21.4274073758
46	1	316.238095238	21.9911340618
47	1	316.349206349	15.9464965851
0	2	290.476190476	23.6091569153
1	2	298.73015873	7.03552515883
2	2	-1	0
3	2	301.53968254	24.7942808285
4	2	308.238095238	19.7867313933
5	2	298.698412698	9.21633284616
6	2	315.46031746	23.149497164
7	2	315.619047619	19.6100302902
8	2	306.698412698	18.4284415456
9	2	302.523809524	18.5119928033
10	2	314.19047619	20.837890658
11	2	301.936507937	11.0178398134
12	2	304.904761905	14.6641927413
13	2	301.714285714	18.8084990679
14	2	302.126984127	24.732532437
15	2	297.079365079	16.20631034
16	2	305.746031746	19.5204152424
17	2	314.222222222	17.0298006256
18	2	313.412698413	21.3717176413
19	2	309.047619048	13.4641541402
20	2	309.825396825	21.1566640652
21	2	316.301587302	17.3238389021
22	2	301.746031746	21.0675167505
23	2	307.412698413	13.527907569
24	2	304.349206349	24.7586180155
25	2	294.793650794	19.0155815225
26	2	297.015873016	23.7650484078
27	2	301.333333333	18.3588566923
28	2	307.079365079	28.3981340698
29	2	305.920634921	21.0903585791
30	2	304.142857143	13.8482216414
31	2	310.587301587	23.9083135708
32	2	309.079365079	19.172816063
33	2	310.761904762	19.1001656153
34	2	306.285714286	16.2719239859
35	2	309.73015873	20.7503729928
36	2	303.206349206	23.4711296691
37	2	308.333333333	22.3677772771
38	2	304.444444444	22.7343372057
39	2	303.888888889	24.2428920109
40	2	301.555555556	20.6964284763
41	2	304.603174603	22.06091112
42	2	312.650793651	17.3865106717
43	2	307.285714286	19.0516662367
44	2	312.523809524	18.8939035627
45	2	310.285714286	18.5715506711
46	2	317.619047619	17.6818699825
47	2	311.333333333	20.0340979174
0	3	300.047619048	24.8860441361
1	3	299.412698413	10.9336163155
2	3	298.317460317	9.28358407257
3	3	-1	0
4	3	282.841269841	24.50928321
5	3	303.825396825	15.1149454919
6	3	310.46031746	22.8916186207
7	3	316.444444444	18.9559035306
8	3	309.619047619	19.5110294989
9	3	304.412698413	16.9186990763
10	3	315.206349206	17.4120545091
11	3	304.222222222	21.8061040271
12	3	306.888888889	17.3681985533
13	3	309.047619048	19.3927073279
14	3	311.793650794	23.9617146551
15	3	308.380952381	19.4049810096
16	3	299.333333333	18.6658163072
17	3	310.380952381	19.075812468
18	3	315.507936508	14.7883190883
19	3	319.19047619	16.8314304845
20	3	326.206349206	17.1391677394
21	3	319.984126984	16.4215229109
22	3	305.142857143	15.4784613719
23	3	317.936507937	15.2657652217
24	3	303.206349206	20.4855029888
25	3	301.746031746	16.7426536877
26	3	312.333333333	19.9308327783
27	3	309.587301587	22.9226684232
28	3	302.079365079	19.0307200168
29	3	305.26984127	20.1606298318
30	3	318.365079365	15.5831630623
31	3	322.841269841	18.5294329137
32	3	317.761904762	17.003934452
33	3	313.857142857	15.1331205595
34	3	314.793650794	16.0911675764
35	3	308.253968254	14.4573464095
36	3	299.015873016	22.1613792931
37	3	306.079365079	18.3599820065
38	3	307.174603175	21.2338003107
39	3	309.984126984	20.3754381108
40	3	300.920634921	18.2863480931
41	3	308.523809524	22.5535392238
42	3	322.365079365	18.4943591463
43	3	311.095238095	20.7285665059
44	3	312.492063492	15.4044654584
45	3	314.047619048	16.4649011695
46	3	319.396825397	17.1756007104
47	3	319.047619048	19.0358296849
0	4	282.793650794	22.3962572909
1	4	306.380952381	13.8706365327
2	4	300.26984127	20.2564560347
3	4	294.333333333	12.1720470817
4	4	-1	0
5	4	295.53968254	19.3889392433
6	4	309.555555556	17.1026571571
7	4	313.761904762	17.9609048856
8	4	310.333333333	22.4230606919
9	4	299.492063492	16.3628237326
10	4	305.317460317	17.1758647543
11	4	308.523809524	19.3930581123
12	4	306.222222222	20.0217694574
13	4	309.444444444	19.0511240161
14	4	304.746031746	19.5082141869
15	4	304.365079365	16.0991980351
16	4	302.333333333	17.2709500111
17	4	311.095238095	19.1043203671
18	4	313.761904762	17.0607823614
19	4	319.825396825	16.5668819403
20	4	319.428571429	17.0728730212
21	4	315.920634921	16.4917503064
22	4	303.968253968	20.7463657203
23	4	316.825396825	17.3017474872
24	4	308.142857143	20.0300228172
25	4	307.571428571	18.2301984645
